a1,a2,a3,a4,a5,res
21,77,0.272727272727273,0.17687074829932,0.012368583797155002,Handwritten_extended
5,14,0.3571428571428571,0.24285714285714302,0.07142857142857201,Other_extended
10,14,0.7142857142857142,0.314285714285714,0.05714285714285701,Other_extended
21,54,0.38888888888888895,0.221340388007054,0.017636684303351004,Printed_extended
3,4,0.75,0.5,0.25,Other_extended
20,77,0.25974025974026,0.23636363636363603,0.011688311688312001,Printed_extended
7,15,0.46666666666666706,0.23809523809523803,0.066666666666667,Other_extended
7,13,0.538461538461538,0.38461538461538397,0.076923076923077,Other_extended
13,10,1.3,0.523076923076923,0.069230769230769,Other_extended
16,21,0.7619047619047621,0.41369047619047605,0.04761904761904799,Other_extended
35,108,0.324074074074074,0.23994708994709,0.009259259259259,Handwritten_extended
6,13,0.46153846153846206,0.166666666666667,0.076923076923077,Other_extended
3,4,0.75,0.083333333333333,0.166666666666667,Other_extended
9,11,0.818181818181818,0.282828282828283,0.070707070707071,Other_extended
14,45,0.311111111111111,0.361904761904762,0.022222222222222,Handwritten_extended
7,12,0.583333333333333,0.452380952380952,0.05952380952381,Other_extended
18,23,0.7826086956521741,0.46135265700483097,0.038647342995169,Printed_extended
8,14,0.5714285714285711,0.5535714285714289,0.053571428571429,Other_extended
26,31,0.8387096774193549,0.29032258064516103,0.032258064516129,Handwritten_extended
20,48,0.4166666666666671,0.308333333333333,0.01875,Printed_extended
26,105,0.24761904761904802,0.174725274725275,0.00952380952381,Handwritten_extended
20,14,1.42857142857143,0.3928571428571429,0.04642857142857199,Other_extended
5,7,0.7142857142857142,0.42857142857142894,0.14285714285714302,Other_extended
15,27,0.555555555555556,0.09135802469135801,0.034567901234568,Handwritten_extended
18,142,0.126760563380282,0.277386541471049,0.007042253521127,Printed_extended
14,45,0.311111111111111,0.363492063492063,0.022222222222222,Handwritten_extended
16,44,0.36363636363636404,0.6051136363636359,0.022727272727273,Handwritten_extended
18,94,0.19148936170212802,0.19030732860520103,0.009456264775414,Handwritten_extended
14,24,0.583333333333333,0.47321428571428603,0.041666666666667,Handwritten_extended
19,91,0.20879120879120897,0.182186234817814,0.010410641989589001,Printed_extended
3,4,0.75,0.33333333333333304,0.25,Other_extended
5,15,0.33333333333333304,0.2,0.066666666666667,Other_extended
16,51,0.313725490196078,0.155637254901961,0.018382352941177,Printed_extended
16,69,0.23188405797101397,0.345108695652174,0.014492753623188,Handwritten_extended
21,79,0.265822784810127,0.28149487643158505,0.012658227848101002,Handwritten_extended
20,4,5.0,0.0125,0.025,Other_extended
11,31,0.354838709677419,0.234604105571847,0.029325513196481,Handwritten_extended
3,11,0.272727272727273,0.03030303030303,0.09090909090909101,Other_extended
