a1,a2,a3,a4,a5,res
14,116,0.12068965517241399,0.160714285714286,0.008620689655171999,Printed_extended
4,5,0.8,0.45,0.2,Other_extended
21,72,0.29166666666666696,0.305555555555555,0.013888888888889,Handwritten_extended
5,9,0.555555555555556,0.48888888888888893,0.111111111111111,Other_extended
11,19,0.578947368421053,0.267942583732057,0.052631578947369,Other_extended
9,8,1.125,0.305555555555556,0.09722222222222197,Other_extended
5,11,0.45454545454545503,0.4,0.09090909090909101,Other_extended
16,46,0.34782608695652195,0.27173913043478304,0.021739130434783,Handwritten_extended
14,55,0.25454545454545396,0.076623376623377,0.018181818181818,Handwritten_extended
39,159,0.245283018867925,0.17529430736977897,0.006128043863893001,Mixed_extended
34,31,1.09677419354839,0.207779886148008,0.028462998102467003,Handwritten_extended
56,103,0.543689320388349,0.274445214979196,0.009708737864078002,Handwritten_extended
44,52,0.8461538461538459,0.281468531468531,0.019230769230768996,Handwritten_extended
4,3,1.33333333333333,0.5,0.083333333333333,Other_extended
16,21,0.7619047619047621,0.19940476190476197,0.04761904761904799,Handwritten_extended
20,53,0.377358490566038,0.223584905660377,0.018867924528301997,Handwritten_extended
13,64,0.203125,0.236778846153846,0.015625,Mixed_extended
3,5,0.6,0.066666666666667,0.066666666666667,Other_extended
25,73,0.34246575342465696,0.151780821917808,0.013150684931507,Handwritten_extended
30,27,1.11111111111111,0.320987654320988,0.032098765432099,Printed_extended
3,3,1.0,0.555555555555555,0.222222222222222,Other_extended
8,12,0.666666666666667,0.145833333333333,0.083333333333333,Other_extended
4,3,1.33333333333333,0.5,0.083333333333333,Other_extended
4,8,0.5,0.59375,0.125,Other_extended
103,4,25.75,0.395631067961165,0.007281553398058,Other_extended
12,43,0.279069767441861,0.19573643410852698,0.01937984496124,Printed_extended
8,13,0.615384615384615,0.211538461538462,0.076923076923077,Other_extended
3,5,0.6,0.666666666666667,0.2,Other_extended
18,66,0.272727272727273,0.30387205387205396,0.015151515151515,Printed_extended
5,6,0.833333333333333,0.4,0.133333333333333,Other_extended
4,3,1.33333333333333,0.083333333333333,0.0,Other_extended
5,3,1.6666666666666698,0.5333333333333329,0.133333333333333,Other_extended
11,14,0.7857142857142858,0.35064935064935104,0.071428571428571,Other_extended
6,10,0.6,0.3666666666666671,0.1,Other_extended
15,23,0.652173913043478,0.30144927536231897,0.043478260869565,Other_extended
18,94,0.19148936170212802,0.307919621749409,0.010638297872341001,Printed_extended
22,88,0.25,0.267045454545454,0.011363636363636001,Printed_extended
39,159,0.245283018867925,0.17529430736977897,0.006128043863893001,Mixed_extended
18,94,0.19148936170212802,0.307919621749409,0.010638297872341001,Printed_extended
24,21,1.14285714285714,0.19841269841269799,0.03968253968254,Handwritten_extended
4,51,0.07843137254902001,0.029411764705882002,0.019607843137255002,Other_extended
3,3,1.0,0.444444444444444,0.222222222222222,Other_extended
368,16,23.0,0.126528532608696,0.0025475543478260003,Other_extended
37,52,0.711538461538462,0.15540540540540498,0.018191268191268,Printed_extended
6,11,0.545454545454545,0.409090909090909,0.07575757575757598,Other_extended
6,11,0.545454545454545,0.31818181818181795,0.09090909090909101,Other_extended
30,72,0.4166666666666671,0.283796296296296,0.013888888888889,Handwritten_extended
67,57,1.17543859649123,0.158156585493585,0.014663524482848998,Handwritten_extended
5,5,1.0,0.44,0.16,Other_extended
45,123,0.365853658536585,0.154290876242096,0.007949412827462,Handwritten_extended
13,19,0.6842105263157899,0.299595141700405,0.052631578947367995,Other_extended
4,3,1.33333333333333,0.083333333333333,0.083333333333333,Other_extended
17,57,0.29824561403508804,0.23116615067079502,0.017543859649123,Handwritten_extended
12,48,0.25,0.326388888888889,0.020833333333333,Handwritten_extended
18,18,1.0,0.5709876543209879,0.046296296296295995,Other_extended
4,6,0.666666666666667,0.125,0.125,Other_extended
26,38,0.6842105263157899,0.330971659919028,0.026315789473683997,Handwritten_extended
15,23,0.652173913043478,0.263768115942029,0.040579710144928,Handwritten_extended
19,99,0.191919191919192,0.16267942583732,0.010101010101010001,Handwritten_extended
15,206,0.07281553398058299,0.202588996763754,0.004854368932039001,Printed_extended
35,181,0.19337016574585603,0.159589581689029,0.005524861878452999,Handwritten_extended
5,6,0.833333333333333,0.46666666666666706,0.1,Other_extended
13,19,0.6842105263157899,0.6923076923076921,0.052631578947367995,Other_extended
4,13,0.307692307692308,0.153846153846154,0.076923076923077,Other_extended
20,166,0.120481927710843,0.539759036144579,0.006024096385542,Handwritten_extended
5,9,0.555555555555556,0.24444444444444396,0.111111111111111,Other_extended
3,4,0.75,0.33333333333333304,0.25,Other_extended
16,34,0.47058823529411803,0.4466911764705879,0.027573529411765003,Printed_extended
22,16,1.375,0.41193181818181795,0.04261363636363601,Printed_extended
20,65,0.307692307692308,0.250769230769231,0.014615384615384999,Printed_extended
3,3,1.0,0.666666666666667,0.222222222222222,Other_extended
55,163,0.337423312883436,0.239375348577803,0.006134969325153001,Handwritten_extended
26,46,0.565217391304348,0.18060200668896303,0.020903010033445,Handwritten_extended
40,110,0.36363636363636404,0.200909090909091,0.009090909090909,Handwritten_extended
11,14,0.7857142857142858,0.324675324675325,0.058441558441559,Other_extended
